timeOpen;e_open;e_high;e_low;e_close
18-Sep-2022;88917.1827428896;88917.1827428896;80555.4334457306;85955.1415064478
17-Sep-2022;86689.0315036918;89120.1610137255;85610.0621082769;88919.3722897914
16-Sep-2022;87763.7273064124;88278.6391305867;86067.3383311168;86663.0905420798
15-Sep-2022;97655.3404591807;98483.2856810511;87418.5639539242;87749.7193898897
14-Sep-2022;93704.0690573392;98077.846221796;93059.9035487745;97635.7514940447
13-Sep-2022;103908.9834088369;105837.8565135285;93059.9035487745;94056.8927136426
12-Sep-2022;109636.9120631159;110637.3222561339;102831.4966178391;103897.0188391989
11-Sep-2022;107952.8829385968;109637.8960333015;106405.1469957915;109619.1888953953
10-Sep-2022;104487.2371555872;108470.8780929305;103960.5761007499;107966.7245860942
9-Sep-2022;100564.0552792524;106752.3146150463;100419.4560660335;104494.7827705698
8-Sep-2022;99092.320355632;100958.9210353981;97746.8183583212;100573.8890825944
7-Sep-2022;95644.5624925765;100384.0800347257;92250.8486315543;99098.4754778281
6-Sep-2022;98667.8299642086;102533.1229697947;95696.1436011496;95696.1436011496
5-Sep-2022;95004.3888393437;98937.5608029587;94795.7409780564;98664.3485933297
4-Sep-2022;93841.8914927213;95011.933262815;93046.4379059657;94989.7943740453
3-Sep-2022;95066.5480395178;95201.6038514405;92924.2803735097;93840.4883619457
2-Sep-2022;95494.1299601938;99042.8604964532;93539.4353434218;95066.956981809
1-Sep-2022;93419.6092335009;95983.2334093724;92133.2994604687;95503.6972157528
31-Aug-2022;92790.9386986075;98152.3505834744;92790.9386986075;93415.3130888535
30-Aug-2022;95909.4083435626;97192.8212623659;90145.6342525103;92763.6907356022
29-Aug-2022;86255.4970999211;96102.1076265627;86092.0155705472;95900.0470133229
28-Aug-2022;89919.7675935211;90799.255152349;86262.0000878403;86262.0000878403
27-Aug-2022;90941.8638760066;91484.1429891403;87693.2613417056;89931.1162332625
26-Aug-2022;102415.6075785459;102415.6075785459;90375.8982576896;90919.3020957843
25-Aug-2022;99150.1586310884;103391.6684016834;99121.4142432717;102423.6033669288
24-Aug-2022;100177.3999014901;100898.3149960181;97008.4857264164;99133.5660926094
23-Aug-2022;97618.1838205222;100417.2666966252;93891.0644335892;100181.8897085237
22-Aug-2022;96340.4350950089;97608.5282560075;91985.7536743415;97592.1072596918
21-Aug-2022;93804.3550417257;97635.7319654784;93358.2786635188;96349.4851388511
20-Aug-2022;95952.7206549343;98307.0291282277;91290.7910667178;93831.7321235747
19-Aug-2022;110825.7259859247;110825.7259859247;95874.6755802578;95972.756604854
18-Aug-2022;110939.7932169363;112582.6255167108;110530.946840084;110820.4774752727
17-Aug-2022;115492.968729997;118808.2566852266;110551.6430465421;110896.4817876578
16-Aug-2022;117024.2380660849;117510.8480708511;114529.8246386558;115505.5810476016
